"filename", "language", "Dart", "C++", "Swift", "Markdown", "JSON", "XML", "Groovy", "Properties", "HTML", "YAML", "comment", "blank", "total"
"/mnt/Storage Data/My Projects/car_workshop_app/lib/pages/login.dart", "Dart", 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 216
"/mnt/Storage Data/My Projects/car_workshop_app/lib/pages/recent_jobs.dart", "Dart", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 209
"/mnt/Storage Data/My Projects/car_workshop_app/lib/pages/search_customer.dart", "Dart", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 165
"/mnt/Storage Data/My Projects/car_workshop_app/lib/pages/search_vehicle.dart", "Dart", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 149
"/mnt/Storage Data/My Projects/car_workshop_app/lib/pages/vehicle_display.dart", "Dart", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 231
"/mnt/Storage Data/My Projects/car_workshop_app/lib/widgets/dialogues/add_customer.dart", "Dart", 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 226
"/mnt/Storage Data/My Projects/car_workshop_app/lib/widgets/dialogues/add_job.dart", "Dart", 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 242
"/mnt/Storage Data/My Projects/car_workshop_app/lib/widgets/dialogues/add_part_service.dart", "Dart", 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 349
"/mnt/Storage Data/My Projects/car_workshop_app/lib/widgets/dialogues/add_vehicle.dart", "Dart", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 224
"/mnt/Storage Data/My Projects/car_workshop_app/lib/widgets/dialogues/part_service_display.dart", "Dart", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 74
"/mnt/Storage Data/My Projects/car_workshop_app/lib/widgets/dialogues/update_customer.dart", "Dart", 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 245
"/mnt/Storage Data/My Projects/car_workshop_app/lib/widgets/dialogues/update_job.dart", "Dart", 453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21, 479
"/mnt/Storage Data/My Projects/car_workshop_app/lib/widgets/dialogues/update_part_service.dart", "Dart", 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 389
"/mnt/Storage Data/My Projects/car_workshop_app/lib/widgets/dialogues/update_vehicle.dart", "Dart", 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 245
"/mnt/Storage Data/My Projects/car_workshop_app/lib/widgets/tiles/customer_tile.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 75
"/mnt/Storage Data/My Projects/car_workshop_app/lib/widgets/tiles/job_tile.dart", "Dart", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 107
"/mnt/Storage Data/My Projects/car_workshop_app/lib/widgets/tiles/part_service_tile.dart", "Dart", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 114
"/mnt/Storage Data/My Projects/car_workshop_app/lib/widgets/tiles/vehicle_tile.dart", "Dart", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 87
"/mnt/Storage Data/My Projects/car_workshop_app/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/mnt/Storage Data/My Projects/car_workshop_app/linux/flutter/generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/mnt/Storage Data/My Projects/car_workshop_app/linux/main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/mnt/Storage Data/My Projects/car_workshop_app/linux/my_application.cc", "C++", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"/mnt/Storage Data/My Projects/car_workshop_app/linux/my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/mnt/Storage Data/My Projects/car_workshop_app/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 4, 13
"/mnt/Storage Data/My Projects/car_workshop_app/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/mnt/Storage Data/My Projects/car_workshop_app/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"/mnt/Storage Data/My Projects/car_workshop_app/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"/mnt/Storage Data/My Projects/car_workshop_app/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/mnt/Storage Data/My Projects/car_workshop_app/pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 60, 15, 97
"/mnt/Storage Data/My Projects/car_workshop_app/test/widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/mnt/Storage Data/My Projects/car_workshop_app/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 16, 6, 60
"/mnt/Storage Data/My Projects/car_workshop_app/web/manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"/mnt/Storage Data/My Projects/car_workshop_app/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/mnt/Storage Data/My Projects/car_workshop_app/windows/flutter/generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/mnt/Storage Data/My Projects/car_workshop_app/windows/runner/flutter_window.cpp", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"/mnt/Storage Data/My Projects/car_workshop_app/windows/runner/flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/mnt/Storage Data/My Projects/car_workshop_app/windows/runner/main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/mnt/Storage Data/My Projects/car_workshop_app/windows/runner/resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/mnt/Storage Data/My Projects/car_workshop_app/windows/runner/utils.cpp", "C++", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"/mnt/Storage Data/My Projects/car_workshop_app/windows/runner/utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/mnt/Storage Data/My Projects/car_workshop_app/windows/runner/win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/mnt/Storage Data/My Projects/car_workshop_app/windows/runner/win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 5288, 529, 38, 5, 248, 466, 89, 8, 38, 25, 326, 566, 7626
